Id,NameOfCard,Edition,NoOfSearchResult,eBayHigh,eBayMedian,eBayLow,eBayAverage,Type
[1],Air Elemental,Alpha,2,19.99,19.49,18.99,19.49,Normal
[2],Ancestral Recall,Alpha,4,3926.91,3580.41,3118.41,3551.53,Normal
[3],Animate Artifact,Alpha,2,299.99,199.98,99.97,199.98,Normal
[5],Air Elemental,Beta,1,14.95,14.95,14.95,14.95,Normal
[6],Ancestral Recall,Beta,4,75000.0,2843.7,2587.11,20818.63,Normal
[7],Animate Artifact,Beta,3,7.49,6.84,4.69,6.34,Normal
[8],Animate Dead,Beta,2,149.99,115.0,80.0,115.0,Normal
[10],Aladdin,Arabian Nights,9,60.99,10.0,7.0,19.02,Normal
[11],Aladdin's Lamp,Arabian Nights,3,35.99,12.0,10.0,19.33,Normal
[12],Aladdin's Ring,Arabian Nights,2,35.99,26.99,17.99,26.99,Normal
[13],Air Elemental,Unlimited,2,1.39,1.39,1.39,1.39,Normal
[13],Air Elemental,Unlimited Edition,1,1.39,1.39,1.39,1.39,Normal
[14],Ancestral Recall,Unlimited,6,1998.99,1694.99,1478.31,1698.92,Normal
[15],Animate Artifact,Unlimited,1,0.99,0.99,0.99,0.99,Normal
[16],Animate Dead,Unlimited,2,12.99,9.79,6.59,9.79,Normal
[26],Amulet of Kroog,Antiquities,6,2.49,0.48,0.25,0.74,Normal
[27],Argivian Archaeologist,Antiquities,4,92.98,70.24,45.0,69.61,Normal
[28],Argivian Blacksmith,Antiquities,7,3.99,0.49,0.25,1.06,Normal
[29],Argothian Pixies,Antiquities,3,0.48,0.25,0.25,0.33,Normal
[30],Air Elemental,Revised Edition,1,0.25,0.25,0.25,0.25,Normal
[31],Aladdin's Lamp,Revised Edition,3,0.54,0.26,0.25,0.35,Normal
[32],Aladdin's Ring,Revised Edition,2,0.54,0.4,0.25,0.4,Normal
[34],Abomination,Legends,3,1.0,1.0,0.98,0.99,Normal
[35],Acid Rain,Legends,1,40.35,40.35,40.35,40.35,Normal
[36],Active Volcano,Legends,2,0.48,0.48,0.47,0.48,Normal
[37],Adun Oakenshield,Legends,1,55.99,55.99,55.99,55.99,Normal
[38],Amnesia,The Dark,2,1.2,1.09,0.99,1.09,Normal
[39],Angry Mob,The Dark,5,1.39,1.23,0.67,1.1,Normal
[40],Apprentice Wizard,The Dark,1,0.99,0.99,0.99,0.99,Normal
[41],Ashes to Ashes,The Dark,3,2.49,0.48,0.25,1.07,Normal
[42],Aeolipile,Fallen Empires,5,1.94,1.0,0.6,1.21,Normal
[44],Sewers of Estark,Media Inserts,3,1.23,1.23,1.0,1.15,Normal
[45],Nalathni Dragon,Media Inserts,1,1.25,1.25,1.25,1.25,Normal
[47],Counterspell,Legend Membership,1,12.98,12.98,12.98,12.98,Normal
[48],Incinerate,Legend Membership,2,3.43,3.43,3.43,3.43,Normal
[52],Aladdin's Lamp,4th Edition,2,1.2,0.72,0.25,0.72,Normal
[52],Aladdin's Lamp,Fourth Edition,3,5.99,1.2,0.25,2.48,Normal
[53],Abyssal Specter,Ice Age,4,3.99,0.71,0.25,1.42,Normal
[54],Adarkar Sentinel,Ice Age,1,9.19,9.19,9.19,9.19,Normal
[55],Adarkar Unicorn,Ice Age,1,0.99,0.99,0.99,0.99,Normal
[56],Adarkar Wastes,Ice Age,15,9.5,6.0,3.89,5.92,Normal
[57],Abu Ja'far,Chronicles,4,1.95,0.48,0.25,0.79,Normal
[58],Active Volcano,Chronicles,2,0.25,0.25,0.25,0.25,Normal
[59],Akron Legionnaire,Chronicles,2,0.57,0.41,0.25,0.41,Normal
[60],Aladdin,Chronicles,3,0.99,0.3,0.25,0.51,Normal
[61],Abbey Gargoyles,Homelands,1,0.33,0.33,0.33,0.33,Normal
[70],Aku Djinn,Visions,6,1.65,0.52,0.36,0.71,Normal
[71],Anvil of Bogardan,Visions,15,16.93,12.49,1.04,12.24,Normal
[72],Archangel,Visions,7,3.1,1.0,0.25,1.28,Normal
[73],Army Ants,Visions,3,1.0,0.99,0.73,0.91,Normal
[75],Abyssal Specter,5th Edition,1,0.25,0.25,0.25,0.25,Normal
[75],Abyssal Specter,Fifth Edition,1,0.25,0.25,0.25,0.25,Normal
[76],Adarkar Wastes,5th Edition,13,8.99,5.99,3.35,6.26,Normal
[76],Adarkar Wastes,Fifth Edition,15,8.99,5.93,3.0,5.96,Normal
[81],Alabaster Dragon,Portal,4,2.95,2.27,1.58,2.27,Normal
[82],Alluring Scent,Portal,4,1.58,0.99,0.97,1.13,Normal
[87],Abduction,Weatherlight,4,1.45,0.74,0.25,0.79,Normal
