Id,NameOfCard,Edition,NoOfSearchResult,eBayHigh,eBayMedian,eBayLow,eBayAverage,Type
[1],Air Elemental,Alpha,2,19.99,19.49,18.99,19.49,Normal
[2],Ancestral Recall,Alpha,4,3926.91,3580.41,3118.41,3551.53,Normal
[3],Animate Artifact,Alpha,3,337.97,299.99,99.97,245.98,Normal
[5],Air Elemental,Beta,3,14.95,9.95,0.99,8.63,Normal
[6],Ancestral Recall,Beta,6,75000.0,2693.55,200.0,14229.08,Normal
[7],Animate Artifact,Beta,3,7.49,6.84,4.69,6.34,Normal
[8],Animate Dead,Beta,3,149.99,80.0,80.0,103.33,Normal
[9],Abu Ja'far,Arabian Nights,1,3.19,3.19,3.19,3.19,Normal
[10],Aladdin,Arabian Nights,11,249.99,17.99,7.5,52.99,Normal
[11],Aladdin's Lamp,Arabian Nights,4,99.99,24.0,10.0,39.49,Normal
[12],Aladdin's Ring,Arabian Nights,3,35.99,17.99,7.5,20.49,Normal
[13],Air Elemental,Unlimited,3,1.39,1.39,0.54,1.11,Normal
[13],Air Elemental,Unlimited Edition,1,1.39,1.39,1.39,1.39,Normal
[14],Ancestral Recall,Unlimited,9,4189.95,1729.99,1299.99,2020.38,Normal
[15],Animate Artifact,Unlimited,1,0.99,0.99,0.99,0.99,Normal
[16],Animate Dead,Unlimited,4,12.99,6.04,4.36,7.36,Normal
[16],Animate Dead,Unlimited Edition,1,5.5,5.5,5.5,5.5,Normal
[17],Air Elemental,Collector's Edition,1,0.37,0.37,0.37,0.37,Normal
[26],Amulet of Kroog,Antiquities,11,2.49,0.25,0.25,0.52,Normal
[27],Argivian Archaeologist,Antiquities,7,849.95,92.98,45.0,192.56,Normal
[28],Argivian Blacksmith,Antiquities,12,3.99,0.25,0.25,0.72,Normal
[29],Argothian Pixies,Antiquities,4,5.95,0.36,0.25,1.73,Normal
[30],Air Elemental,Revised Edition,6,0.33,0.3,0.25,0.29,Normal
[31],Aladdin's Lamp,Revised Edition,8,0.54,0.34,0.25,0.35,Normal
[32],Aladdin's Ring,Revised Edition,7,9.99,0.32,0.25,1.72,Normal
[33],Animate Artifact,Revised Edition,3,0.25,0.25,0.25,0.25,Normal
[34],Abomination,Legends,4,1.0,0.99,0.51,0.87,Normal
[35],Acid Rain,Legends,2,40.99,40.67,40.35,40.67,Normal
[36],Active Volcano,Legends,6,0.48,0.25,0.25,0.32,Normal
[37],Adun Oakenshield,Legends,3,99.99,64.99,55.99,73.66,Normal
[38],Amnesia,The Dark,2,1.2,1.09,0.99,1.09,Normal
[39],Angry Mob,The Dark,6,1.39,1.11,0.25,0.96,Normal
[40],Apprentice Wizard,The Dark,4,1.25,0.99,0.99,1.06,Normal
[41],Ashes to Ashes,The Dark,4,2.49,0.42,0.25,0.89,Normal
[42],Aeolipile,Fallen Empires,8,1.94,0.81,0.42,0.94,Normal
[44],Sewers of Estark,Media Inserts,3,1.23,1.23,1.0,1.15,Normal
[45],Nalathni Dragon,Media Inserts,1,1.25,1.25,1.25,1.25,Normal
[47],Counterspell,Legend Membership,1,12.98,12.98,12.98,12.98,Normal
[48],Incinerate,Legend Membership,2,3.43,3.43,3.43,3.43,Normal
[49],Abomination,4th Edition,4,1.5,0.25,0.25,0.56,Normal
[49],Abomination,Fourth Edition,4,1.5,0.25,0.25,0.56,Normal
[50],Air Elemental,4th Edition,4,1.5,0.25,0.25,0.56,Normal
[50],Air Elemental,Fourth Edition,4,1.5,0.25,0.25,0.56,Normal
[51],Alabaster Potion,4th Edition,7,3.0,0.25,0.25,0.78,Normal
[51],Alabaster Potion,Fourth Edition,7,3.0,0.25,0.25,0.78,Normal
[52],Aladdin's Lamp,4th Edition,6,1.2,0.35,0.25,0.48,Normal
[52],Aladdin's Lamp,Fourth Edition,7,5.99,0.37,0.25,1.27,Normal
[53],Abyssal Specter,Ice Age,7,3.99,0.25,0.25,0.92,Normal
[54],Adarkar Sentinel,Ice Age,6,9.19,0.26,0.2,1.86,Normal
[55],Adarkar Unicorn,Ice Age,6,1.0,0.25,0.25,0.5,Normal
[56],Adarkar Wastes,Ice Age,22,174.99,6.21,3.75,13.54,Normal
[57],Abu Ja'far,Chronicles,9,1.95,0.26,0.25,0.66,Normal
[58],Active Volcano,Chronicles,7,1.99,0.25,0.25,0.64,Normal
[59],Akron Legionnaire,Chronicles,7,2.0,0.32,0.25,0.58,Normal
[60],Aladdin,Chronicles,4,0.99,0.47,0.25,0.55,Normal
[61],Abbey Gargoyles,Homelands,6,0.33,0.25,0.25,0.27,Normal
